vendor,service_name,service_category,start_time,end_time,user_symptom,user_symptom_category,root_cause,root_cause_category,model,time_sec,tokens_used,cached_tokens,year
Azure,Azure Cosmos DB,DATABASE,,20210212T04:30:00,a subset of customers using Azure Cosmos DB in West US may have experienced issues connecting to resources.,UNAVIL,"a Cosmos DB deployment was completed in West US using safe deployment practices; unfortunately, it introduced a code regression that triggered at 23:11 UTC, resulting in the customer impact described above.",DEPLOY,gpt-4o-mini,2.522,2888,1024,2021.0
Azure,Azure Monitor,MANAGEMENT,,20230707T09:00:00,"a subset of data for Azure Monitor Log Analytics and Microsoft Sentinel failed to ingest. Additionally, platform logs gathered via Diagnostic Settings failed to route some data to customer destinations such as Log Analytics, Storage, Event Hub and Marketplace.","ERROR,UNAVIL","A code deployment for the Azure Container Apps service was started on 3 July 2023 via the normal Safe Deployment Practices (SDP), first rolling out to Azure canary and staging regions. This version contained a misconfiguration that blocked the service from starting normally.",DEPLOY,gpt-4o-mini,4.906,4029,1024,2023.0
Azure,Azure SQL DB,DATABASE,,20220215T11:43:00,a limited subset of customers using SQL Databases or Cosmos DB experienced database unavailability and may have seen errors when connecting to their database instances.,"UNAVIL,ERROR","A race condition in the underlying Remote Procedure Call (RPC) mechanism caused the network control plane channel in some cases to not pick up the rotated certificate, leading to connectivity failures once the certificate expired.",CONFIG,gpt-4o-mini,2.653,2712,1024,2022.0
Azure,SQL Database,DATABASE,,20220216T15:31:00,a subset of customers using SQL Database instances in West Europe may have experienced database connectivity errors in this region including when attempting to create new connections. Retries may have been successful.,ERROR,"Due to a memory hardware failure in a network router, a control plane/data plane synchronization process in that router failed during a regular automated maintenance operation.",MAINTAIN,gpt-4o-mini,2.758,2659,1024,2022.0
Azure,Virtual Machines,COMPUTE,,UNKNOWN,Virtual Machines customers may have experienced unresponsiveness and startup failures on Windows machines using the CrowdStrike Falcon agent.,ERROR,"This issue was caused by a CrowdStrike antivirus software update, which resulted in Windows OS virtual machines experiencing a bug check (BSOD) and entering a continuous restart loop.",DEPLOY,gpt-4o-mini,2.486,2003,1024,
Azure,SWAN (Software enabled Wide Area Network),NETWORK,,20200124T22:28:00,causing high latency for services traversing the network between data centers.,"DELAY,UNAVIL",the SWAN network was unable to generate and program a working Forwarding Information Base (FIB) into the SWAN routers due to a bad configuration push.,CONFIG,gpt-4o-mini,2.584,2845,1024,2020.0
Azure,Azure,NETWORK,,20191212T16:26:00,"a subset of customers in North America may have experienced degraded performance, network drops, or timeouts when accessing Azure resources.","DEPERF,UNAVIL,DELAY","Engineers identified a routing protocol metric change within an ISP backbone network, which resulted in network connectivity degradation for a limited subset of Azure customers.",EXTERNAL,gpt-4o-mini,2.488,2519,1024,2019.0
Azure,Azure Regional Network Gateway,NETWORK,,20230123T19:38:00,a subset of customers in the South Central US region may have experienced increased latency and/or intermittent connectivity issues while accessing services hosted in the region.,"DELAY,UNAVIL","a single router in the RNG experienced a hardware fault, causing a fraction of network packets to be dropped.",DEPLOY,gpt-4o-mini,2.376,2673,1024,2023.0
Azure,Azure Networking,NETWORK,,20230125T12:43:00,"customers experienced issues with network connectivity, manifesting as long network latency and/or timeouts when attempting to connect to resources hosted in Azure regions, as well as other Microsoft services including Microsoft 365 and Power Platform.","DELAY,UNAVIL","a network engineer was performing an operational task to add network capacity to the global Wide Area Network (WAN) in Madrid. The task included steps to modify the IP address for each new router, and integration into the IGP and BGP routing domains. The SOP was changed prior to the scheduled event, and the change was not re-tested and did not include proper post-checks, leading to a command that caused widespread routing instability.",CONFIG,gpt-4o-mini,3.743,3720,1024,2023.0
Azure,Microsoft Wide Area Network (WAN),NETWORK,,20200222T00:53:00,Azure customers may have experienced network connection failures for IPv4 traffic. Network connections that originated from or were destined to West Europe (Amsterdam) or Southeast Asia (Singapore) regions may have resulted in a connection failure.,UNAVIL,"The incident was caused by a configuration error pushed to routers in Microsoft Wide Area Network (WAN), in Singapore and Amsterdam. The configuration change sent all SYN packets (used to initiate a connection) to the router CPU for inspection, which caused the router’s built-in denial of service protection to drop a subset of packets to protect the router CPU.",CONFIG,gpt-4o-mini,3.473,2752,1024,2020.0
Azure,Azure Wide Area Network,NETWORK,,20220629T20:14:00,"a subset of customers experienced intermittent network failures and packet loss due to an issue with a router in the Microsoft Wide Area Network (WAN) in the London, UK area.","UNAVIL,DELAY","One specific router in London intermittently started dropping network packets on one line card, impacting 0.4% of the packets traversing it and causing intermittent network failures for a subset of customer traffic.",DEPLOY,gpt-4o-mini,3.016,3329,1024,2022.0
Azure,Azure Network Infrastructure,NETWORK,,20210727T15:20:00,a subset of customers experienced issues connecting to their services in the Brazil Southeast region.,UNAVIL,a degradation in connectivity was caused by packet loss when the metadata on one of our regional-level routers was updated incorrectly.,CONFIG,gpt-4o-mini,2.362,2480,1024,2021.0
Azure,Azure WAN,NETWORK,,20220729T13:20:00,"customers may have experienced connectivity issues such as network drops, latency, and/or degradation when attempting to access or manage Azure resources in multiple regions.","DELAY,UNAVIL","the substantial increased bursts of traffic occurring throughout the event affected the ability of automated mitigations to continue providing the necessary relief to the network. WAN routers then became overloaded and dropped network packets, which resulted in network connectivity issues experienced by some customers.",OVERLOAD,gpt-4o-mini,3.975,3094,0,2022.0
Azure,Azure Front Door and Azure CDN Standard,NETWORK,,20210811T09:30:00,"a subset of customers leveraging Azure Front Door and Azure CDN Standard from Microsoft in Japan East, Japan West, Korea South, Korea Central and/or West US regions may have experienced intermittent HTTPS request connectivity failures when trying to reach their applications.",UNAVIL,a code defect in the rolled-out version resulted in a race condition where a few servers in the impacted locations tried to revert to a full TLS handshake. This race condition resulted in these servers dropping HTTPS requests.,DEPLOY,gpt-4o-mini,3.209,2594,1024,2021.0
Azure,Virtual Machines,COMPUTE,,20230201T00:58:00,"a subset of customers using Virtual Machines (VMs) in the East US 2 region may have received error notifications when performing service management operations – such as create, delete, update, scale, start, stop – for resource hosted in this region.",ERROR,"one of the partitions associated with physical AZ-02 experienced data access issues at 05:55 UTC on 31 January 2023, because the underlying data store had exhausted an internal resource limit.",CONFIG,gpt-4o-mini,3.269,3090,1024,2023.0
Azure,Azure Resource Manager,MANAGEMENT,,20230323T07:30:00,you may have experienced issues using Azure Resource Manager (ARM) when performing resource management operations in the West Europe region.,"ERROR,UNAVIL",This incident was the result of a positive feedback loop leading to saturation on the ARM web API tier.,DEPLOY,gpt-4o-mini,2.468,3864,1024,2023.0
Azure,Azure Portal,MANAGEMENT,,20230609T17:00:00,"customers may have experienced error notifications when trying to access the Azure Portal (portal.azure.com), and actions to load new HTTP content in the Azure Portal may have resulted in error notifications.","ERROR,UNAVIL","anomalous traffic spikes were issuing floods of incoming requests at a magnitude significantly larger than the normal traffic patterns, which overwhelmed the origin servers. Upon further investigation, we have determined the anomalous traffic spikes to be Layer 7 distributed denial-of-service (DDoS) attacks.",EXTERNAL,gpt-4o-mini,3.779,3784,1024,2023.0
Azure,Azure Software Load Balancer,NETWORK,,20220701T04:00:00,a subset of customers experienced intermittent network failures and packet loss while trying to connect to resources behind a Software Load Balancer (SLB).,"UNAVIL,DELAY",a change in our latest code deployment which caused some MUX instances to store the backend DIPs in a different order.,DEPLOY,gpt-4o-mini,3.178,4069,1024,2022.0
Azure,Azure Resource Manager,MANAGEMENT,,20240905T21:30:00,"customers in the Azure China regions were seeing delays in long running control plane operations including create, update and delete operations on resources.","DELAY,ERROR","During a certificate rotation, the processes tracking these background operations were repeatedly crashing, causing significant delays and an increasing backlog of jobs.",DEPLOY,gpt-4o-mini,2.669,3357,1024,2024.0
Azure,Virtual Machines,COMPUTE,,20230916T19:00:00,a subset of customers using Virtual Machines (VMs) in the East US region experienced connectivity issues.,UNAVIL,"the incident was initially triggered by a UPS rectifier failure on a Primary UPS, which caused a power loss to a subset of the scale units within the datacenter.",EXTERNAL,gpt-4o-mini,2.905,4830,1024,2023.0
Azure,Azure Datacenter,OTHERS,,20200316T00:30:00,a subset of customers in West Central US may have experienced issues connecting to resources hosted in this region.,UNAVIL,"an ice storm in the region resulted in a loss of power to both primary and secondary utility power feeds in West Central US. This caused the datacenter to transition to generator power. Although largely successful, a subset of generators failed and UPS units supporting the downstream racks carried the load until their batteries drained. At that point, the affected racks lost power entirely.",EXTERNAL,gpt-4o-mini,3.47,2462,1024,2020.0
Azure,Azure Storage and Compute,STORAGE,,20220607T14:30:00,a subset of customers experienced difficulties connecting to resources hosted in one particular Availability Zone (AZ) of the East US 2 region.,UNAVIL,Microsoft experienced an unplanned power oscillation in one of our datacenters within one of our Availability Zones in the East US 2 region.,OVERLOAD,gpt-4o-mini,2.759,4803,1024,2022.0
Azure,Azure services,NETWORK,,20200120T16:30:00,"a subset of customers in Sweden, Finland, Norway, and Russia may have experienced increased latency or difficulties connecting to Azure services.","DELAY,UNAVIL","a multiple fiber-cut event isolated the Stockholm and Helsinki Azure Edge sites, impacting internet traffic routing via these regions to the wider Microsoft network.",EXTERNAL,gpt-4o-mini,2.851,2569,1024,2020.0
Azure,Azure Front Door,NETWORK,,20240730T19:43:00,"a subset of customers experienced intermittent connection errors, timeouts, or latency spikes while connecting to Microsoft services that leverage Azure Front Door (AFD) and Azure Content Delivery Network (CDN).","ERROR,UNAVIL,DELAY","an unrelated latent network configuration issue caused traffic from outside Europe to be routed to the DDoS protection system within Europe, leading to localized congestion.",CONFIG,gpt-4o-mini,2.782,3713,1024,2024.0
Azure,SQL Database,DATABASE,,20220721T13:30:00,"During this time, new connections to databases in this region may have resulted in errors or timeouts. Existing connections would have remained available to accept new requests, however if those connections were terminated and then re-established, they may have failed.","ERROR,DELAY",An operator error led to an incorrect action being performed in close sequence on all four persisted metadata caches. The action resulted in a configuration change that made the caches unavailable to the regional gateway processes.,CONFIG,gpt-4o-mini,2.99,3822,1024,2022.0
Azure,Azure Database for MySQL/MariaDB,DATABASE,,20240419T07:30:00,"Connectivity issues, all connections may have failed for a subset of customers. Retries would have been unsuccessful.","ERROR,UNAVIL","Due to a procedural error, the new connections were erroneously routed to a newly built gateway ring whose configuration was incomplete.",CONFIG,gpt-4o-mini,2.536,3630,1024,2024.0
Azure,Azure Networking,NETWORK,,20230705T16:00:00,"Azure customers using the West Europe region may have experienced packet drops, timeouts, and/or increased latency.","ERROR,DELAY","Due to a fiber cut caused by severe weather conditions in the Netherlands, 25% of network links between two campuses of West Europe datacenters became unavailable.",EXTERNAL,gpt-4o-mini,2.612,3461,1024,2023.0
Azure,Azure Storage,STORAGE,,20210226T10:02:00,"a subset of customers in Japan East may have experienced service degradation and increased latency for resources utilizing Azure Storage, including failure of virtual machine disks.","DEPERF,DELAY",the impacted storage scale unit was under heavier than normal utilization due to incorrect limits set on the scale unit and insufficient load balancing automation.,CONFIG,gpt-4o-mini,2.369,3074,1024,2021.0
Azure,Microsoft Global Network,NETWORK,,20200814T04:52:00,"a subset of customers connecting through one of Microsoft's edge-nodes in the Southeast United States may have experienced intermittent periods of degraded connectivity when attempting to connect to Azure, Microsoft 365, and Xbox resources.","DELAY,UNAVIL",a missing configuration at this site to detect site isolation and resulted in an outage.,CONFIG,gpt-4o-mini,2.737,2788,1024,2020.0
Azure,Azure DNS,NETWORK,,20240423T06:00:00,"Customers may have had issues connecting to multiple Azure services including Cosmos DB, Azure Virtual Desktop, Azure Databricks, Backup, Site Recovery, Azure IoT Hub, Service Bus, Logic Apps, Data Factory, Azure Kubernetes Services, Azure Policy, Azure AI Speech, Azure Machine Learning, API Management, Azure Container Registry, and Azure Data Explorer.",UNAVIL,"During this process, ownership for two critical system domains for Azure in China were misattributed, and as a result, were flagged as potential candidates for decommission.",CONFIG,gpt-4o-mini,3.62,3403,1024,2024.0
Azure,Azure Storage,STORAGE,,20230306T17:55:00,a subset of customers using Azure Storage may have experienced greater than expected throttling when performing requests against Storage resources located in the West Europe region.,"ERROR,DEPERF","A new configuration was rolled out to improve the throttling algorithm. While this configuration change followed the usual Safe Deployment Practices, this issue was found mid-way through the deployment. The change had adverse effects due to the specific load and characteristics on a small set of scale units where the mechanism unexpectedly throttled some storage accounts in an attempt to bring the scale unit to a healthy state.",DEPLOY,gpt-4o-mini,3.424,3994,1024,2023.0
Azure,Azure Storage,STORAGE,,20220828T02:00:00,a subset of customers experienced failures when trying to access resources hosted in the West US 2 region.,"ERROR,UNAVIL",a power event that caused impact to a number of storage and compute scale units in the West US 2 region due to a utility power outage and failures of backup power systems in two datacenters.,EXTERNAL,gpt-4o-mini,3.228,4234,1024,2022.0
Azure,Azure Storage,STORAGE,,20241113T13:25:00,DNS resolution failures when connecting to an Azure Storage account.,"ERROR,UNAVIL",an issue with DNS resolution for Azure Storage accounts was causing this impact.,CONFIG,gpt-4o-mini,2.355,2325,1024,2024.0
Azure,Azure Networking,NETWORK,,20200903T17:32:00,a subset of customers may have experienced intermittent latency or issues connecting to resources hosted in West Europe.,"DELAY,UNAVIL","Approximately 4 hours before the impact start, some local activity (likely construction) in the vicinity of the data centre cause an increase in the number of packets corrupted during transmission over fiber optic cables between data centers in the West Europe region. Separately, between 09:21 and 09:26 UTC a significant fiber-cut occurred approximately 5 kilometres from the data centre on one of the other paths between the data centers.",EXTERNAL,gpt-4o-mini,3.909,2832,1024,2020.0
Azure,Azure Front Door,NETWORK,,20240805T19:49:00,"some customers experienced intermittent connection errors, timeouts, or increased latency while connecting to Microsoft services that leverage Azure Front Door (AFD)","ERROR,UNAVIL,DELAY",an internal service team doing a routine configuration change to their AFD profile for modifying an internal-only AFD feature caused high memory allocation rates on a subset of the AFD servers,CONFIG,gpt-4o-mini,3.164,3257,1024,2024.0
Azure,Azure Resource Manager,MANAGEMENT,,20240121T08:58:00,customers attempting to leverage Azure Resource Manager (ARM) may have experienced issues when performing resource management operations.,"ERROR,UNAVIL",this preview feature of the ARM CAE implementation contained a latent code defect that caused issues when authentication to Entra failed.,CONFIG,gpt-4o-mini,2.822,4125,1024,2024.0
Azure,Azure Networking,NETWORK,,20241022T16:50:00,higher latency and packet loss for communications between services hosted in the Commercial cloud and the Azure China cloud.,"DELAY,UNAVIL",an increase in traffic between the China Telecom network and the Azure Commercial cloud.,OVERLOAD,gpt-4o-mini,2.249,2335,1024,2024.0
Azure,Azure Front Door and Azure CDN,NETWORK,,20210712T19:50:00,a subset of customers primarily in the US and Canada experienced increased latency and connection timeouts when connecting to Azure Front Door and Azure CDN Standard from Microsoft.,"DELAY,UNAVIL","A software regression in this release caused intermittent CPU consumption to spike to 40-60% of CPU capacity, approximately 4 times an hour, lasting less than a minute each. This reduced the overall available capacity for processing incoming requests.",DEPLOY,gpt-4o-mini,3.533,2871,1024,2021.0
Azure,"Azure Application Gateway, Azure Bastion, Azure Container Apps, Azure Database Services (MySQL - Flexible Server, Postgres - Flexible Server, and others), Azure ExpressRoute, Azure HDInsight, Azure Open AI, Azure SQL Managed Instance, Azure Stream Analytics, Azure VMware Solution, Azure VPN Gateway",OTHERS,,20221103T05:55:00,"customers experienced failures when attempting to provision new resources in a subset of Azure services including Application Gateway, Bastion, Container Apps, Database Services (MySQL - Flexible Server, Postgres - Flexible Server, and others), ExpressRoute, HDInsight, Open AI, SQL Managed Instance, Stream Analytics, VMware Solution, and VPN Gateway.",ERROR,"the Registration Authority (RA) that sends requests to the CA received a burst of certificate renewal requests, resulting in requests queueing at the RA. Once the CA recovered, the request queue started processing. Due to a latent performance bug in the RA, inadvertently introduced in the past month as part of a feature enhancement, the rate of new incoming requests was greater than the rate at which requests could be processed from the queue.",DEPLOY,gpt-4o-mini,5.9,3016,1024,2022.0
Azure,Azure services,NETWORK,,20201007T21:30:00,"a subset of customers may have encountered increased latency, packet loss, failed connections and authentication failures across multiple Azure services.","DELAY,UNAVIL,ERROR",The incident was caused by a code defect in a version update of a component that controls network traffic routing between Azure regions.,DEPLOY,gpt-4o-mini,2.715,2755,1024,2020.0
Azure,Azure Active Directory Access Panel,SECURITY,,20211109T19:28:00,customers using Azure Active Directory’s Access Panel whose traffic was routed through West Central US and Central US may have experienced issues when attempting to access or use Access Panel functionality.,"ERROR,UNAVIL",a code change to Access Panel was deployed and introduced an unrelated bug impacting a small subset of customers.,DEPLOY,gpt-4o-mini,2.998,3497,1024,2021.0
Azure,Azure Resource Manager,MANAGEMENT,,20220114T20:00:00,"a subset of customers using Azure Resource Manager (ARM) to deploy, modify, or remove Azure resources experienced delays, timeouts, and failures which were visible for long running operations executed on the platform.","DELAY,ERROR","A code modification which started rolling out on 6 Jan 2022 exposed a latent defect in the infrastructure used to process long running operations (informally, ""jobs""). The code modification resulted in an exception for a tiny fraction of job executions, each one of them disabled a small part of the job execution infrastructure.",DEPLOY,gpt-4o-mini,3.339,3202,1024,2022.0
Azure,Azure Active Directory,SECURITY,,20200929T00:23:00,customers may have encountered errors performing authentication operations for all Microsoft and third-party applications and services that depend on Azure Active Directory (Azure AD) for authentication.,ERROR,"a service update targeting an internal validation test ring was deployed, causing a crash upon startup in the Azure AD backend services. A latent code defect in the Azure AD backend service Safe Deployment Process (SDP) system caused this to deploy directly into our production environment, bypassing our normal validation process.",DEPLOY,gpt-4o-mini,3.291,3696,1024,2020.0
Azure,Azure Compute Resource Provider,COMPUTE,,20220409T14:40:00,"customers running services in the East US 2 region may have experienced service management errors, delays, and/or timeouts. Customers may have experienced issues that caused GET and PUT errors impacting the Azure portal itself, as well as services including Azure Virtual Machines (VMs), Virtual Machine Scale Sets (VMSS), Azure Data Factory (ADF), Azure Databricks, Azure Synapse, Azure Backup, Azure Site Recovery (ASR), and Azure Virtual Desktop (AVD).","ERROR,DELAY,UNAVIL",The Compute Resource Provider (CRP) Gateway service experienced an issue which severely reduced its throughput. The underlying issue was a retry storm triggered by the zonal failure of a related Allocator service.,OVERLOAD,gpt-4o-mini,4.286,2868,1024,2022.0
Azure,Azure Portal,MANAGEMENT,,20191227T16:22:00,customers using the Azure Portal may have received failure notifications or 404 errors when attempting to create new resources through the Azure Portal due to the Marketplace Blade not loading.,ERROR,"Customers were unable to create new resources in the Azure Portal due to a code change that was introduced which caused a key extension to fail, causing a null-reference within the Marketplace blade.",DEPLOY,gpt-4o-mini,2.856,2463,1024,2019.0
Azure,Azure portal,MANAGEMENT,,20210520T16:20:00,a subset of Azure customers may have experienced intermittent errors when attempting to access the Azure portal and other Microsoft and Azure services.,ERROR,"The name resolution issues were caused by a code regression in a recent deployment to our edge DNS servers. The regression introduced lock contention issues which, when triggered, caused some processes on our edge servers to go into a paused state and stop serving traffic for some time.",DEPLOY,gpt-4o-mini,3.393,2606,1024,2021.0
Azure,Virtual Machines,COMPUTE,,20200717T21:16:00,a subset of customers using Virtual Machines (VMs) may have experienced intermittent connection failures when trying to access some virtual machines. These virtual machines may have also restarted unexpectedly.,"UNAVIL,ERROR","an ongoing OS update deployment task inadvertently contained a code configuration error that resulted in a number of previously addressed bug fixes being reverted on a subset of clusters. This manifested as system deadlock on a subset of host nodes which were running VM workloads with heavy disk I/O. As a result, VMs on those nodes rebooted.",DEPLOY,gpt-4o-mini,3.916,2530,1024,2020.0
Azure,Azure Active Directory,SECURITY,,20200615T01:40:00,Customers may have received the following error message “AADSTS90033: A Transient error has occurred. Please try again.”,ERROR,An unexpected increase in traffic volume and resource utilization of infrastructure in the region responsible for acquiring authentication tokens resulted in regional contention which exceeded operational thresholds; resulting in authentication issues for a subset of customers.,OVERLOAD,gpt-4o-mini,3.15,2724,1024,2020.0
Azure,Azure Resource Manager,MANAGEMENT,,20220303T03:08:00,a subset of customers experienced errors when using Azure Resource Manager to perform service management operations in the Azure Government cloud.,ERROR,"A synchronization issue occurred between backend components used to permit certain ARM requests. A configuration change was applied to these backend components, which resulted in some instances of the ARM service becoming unreachable, causing errors for a subset of operation requests.",CONFIG,gpt-4o-mini,3.134,2345,1024,2022.0
Azure,Azure Storage Premium File Shares,STORAGE,,20200918T19:51:00,a subset of customers using Azure Storage Premium File Shares in East US may have experienced issues accessing services. Other downstream services may have seen impact or experienced service degradation.,"UNAVIL,DELAY","a feature was applied to optimize the performance of IO operations. The feature contained a code bug in an infrequent error path, which when hit would cause a storage front end process to become unhealthy. The incident started when a small number of clients entered an invalid state, triggered by a combination of a routine network maintenance operations which happened on the storage scale unit at the time and a code bug on the client side.",DEPLOY,gpt-4o-mini,3.899,2595,1024,2020.0
Azure,Azure Active Directory B2C,SECURITY,,20211117T02:50:00,a subset of customers using Azure Active Directory B2C in the Australia region may have encountered failures while attempting to authenticate. These attempts may have succeeded on retry.,"ERROR,UNAVIL",an underlying code defect triggered some service nodes to experience a shortage of outbound ports to complete network tasks. This in turn caused an increase in service latency and timeouts.,DEPLOY,gpt-4o-mini,3.34,2443,1024,2021.0
Azure,Azure Resource Manager,MANAGEMENT,,20210630T14:30:00,a subset of Azure customers may have experienced intermittent errors when attempting to access the Azure portal and other Microsoft and Azure services.,"ERROR,UNAVIL",The connection to some of these backend storage endpoints started failing after a maintenance to update their configuration was deployed.,CONFIG,gpt-4o-mini,2.399,2847,1024,2021.0
Azure,Azure Active Directory,SECURITY,,20211216T02:25:00,"Azure AD users may have experienced impact when accessing Microsoft 365, Dynamics 365 and Azure services.",UNAVIL,"A regular operating system (OS) update was deployed to endpoints of a backend service in the Azure AD authentication stack, which interacted with the service in an unexpected way, making the service on the updated endpoints unresponsive.",DEPLOY,gpt-4o-mini,3.021,2898,1024,2021.0
Azure,Windows-based Virtual Machines,COMPUTE,,20211013T12:42:00,"a subset of customers using Windows-based Virtual Machines (Windows VM) may have received failure notifications when performing service management operations - such as start, create, update, delete.",ERROR,the tooling provided an ARM template for use in performing these migrations did not consider an edge case and as an unintended consequence marked the Windows VM Agent extension as visible to the publishing subscription only in the ARM regional service after migration.,DEPLOY,gpt-4o-mini,2.939,2983,1024,2021.0
Azure,Azure SQL Database,DATABASE,,20200422T21:54:00,"a subset of customers may have seen issues affecting service management operations for Azure SQL Database, Azure SQL Database Managed Instance, Azure Database for MariaDB, Azure Database for MySQL, Azure Database for PostgreSQL and Azure Synapse Analytics services in China North. Service management operations including create, rename, update and delete may have been impacted.","ERROR,OTHERS",Engineers determined that a manual maintenance operation impacted instances of an internal cluster data service that is responsible for receiving and executing service management operations. The primary instance of the data service became unhealthy preventing some of the service management operations from completing.,MAINTAIN,gpt-4o-mini,3.498,2444,1024,2020.0
Azure,Azure Disk Management,COMPUTE,,20210708T12:10:00,a subset of customers in North Europe may have intermittently received errors when performing service management operations for services that rely on compute resources in this region.,ERROR,The request queue limit on some frontends for the disk management that is responsible for service management operations in North Europe reached their limits and were rejecting a subset of requests to it.,DEPLOY,gpt-4o-mini,2.551,2936,1024,2021.0
Azure,Azure Data Factory V2,DATA,,20200228T19:10:00,"a subset of customers in South Central US may have encountered failure notifications when performing service management operations on resources hosted in this region. Additionally, some customers using Azure Data Factory V2 may have seen errors when running pipelines and job executions for dataflow activities as well as seeing errors when attempting to provision SQL Server Integration Services (SSIS) and Integration Runtime for Azure Data Factory SSIS packages.",ERROR,"During a scale-up operation of the service that manages customer network resources, a new capacity configuration was deployed. This configuration triggered a conflict with an existing backend service configuration and caused an increase in the failure rate of requests to the service used for service discovery.",DEPLOY,gpt-4o-mini,4.441,2502,1024,2020.0
