,service,description,status,vendor,year,label_service_name,label_service_category,label_start_time,label_end_time,label_overday_flag,label_timezone,label_location,label_user_symptom,label_user_symptom_category,label_root_cause,label_root_cause_category
173,Amazon CloudWatch (London),"<div><span class=""yellowfg""> 9:02 PM PDT</span>&nbsp;We are investigating increased faults for CloudWatch alarms APIs and delays in processing some alarms in the EU-WEST-2 Region.</div><div><span class=""yellowfg""> 9:55 PM PDT</span>&nbsp;We can confirm an elevated rate of CloudWatch Alarms API faults and delays in processing some alarms in EU-WEST-2 Region and continue to work towards full recovery.</div><div><span class=""yellowfg"">10:04 PM PDT</span>&nbsp;Between 8:27 PM and 9:55 PM PDT, customers may have experienced elevated alarms API faults and delayed alarms in the EU-WEST-2 Region. We have resolved the issue and the service is operating normally.</div>",[RESOLVED] Elevated API faults and alarm delays,AWS,2020,Amazon CloudWatch,management,20:27,21:55,0,PDT,London,customers may have experienced elevated alarms API faults and delayed alarms in the EU-WEST-2 Region.,"ERROR, DELAY",UNKNOWN,
371,Amazon CloudWatch (Oregon),"<div><span class=""yellowfg""> 7:02 PM PDT</span>&nbsp;We are investigating increased faults for CloudWatch Logs APIs in the US-WEST-2 Region. Log events and metrics may be delayed. Alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics.</div><div><span class=""yellowfg""> 7:43 PM PDT</span>&nbsp;We can confirm increased faults for CloudWatch Logs APIs and some delayed log events in the US-WEST-2 Region. We are actively working to resolve the issue.</div><div><span class=""yellowfg"">10:09 PM PDT</span>&nbsp;We can confirm partial recovery of API faults and reduced delay of log events in the US-WEST-2 Region. We have identified the root cause and are actively working to resolve the issue.</div><div><span class=""yellowfg"">10:45 PM PDT</span>&nbsp; Between 5:56 PM and 10:15 PM PDT, some customers experienced increased delays for CloudWatch log events in the US-WEST-2 Region. Metrics filtered from those log events were delayed, and CloudWatch alarms on delayed metrics may have transitioned into INSUFFICIENT_DATA state. The issue has been resolved and the service is operating normally.</div>",[RESOLVED] Increased API Error Rates,AWS,2019,Amazon CloudWatch,management,17:56,22:15,0,PDT,Oregon,We are investigating increased faults for CloudWatch Logs APIs in the US-WEST-2 Region. Log events and metrics may be delayed,"ERROR, DELAY",UNKNOWN,
197,Amazon CloudWatch (N. Virginia),"<div><span class=""yellowfg""> 6:22 PM PDT</span>&nbsp;We are investigating elevated rate of API faults and delays in processing some alarms in the US-EAST-1 Region. We are actively working to resolve the issue.</div><div><span class=""yellowfg""> 6:42 PM PDT</span>&nbsp;We can confirm that scheduled events are not being delivered via CloudWatch Events in the US-EAST-1 Region. We are actively working to resolve the issue. </div><div><span class=""yellowfg""> 6:49 PM PDT</span>&nbsp;We can confirm that scheduled events are not being delivered via CloudWatch Events in the US-EAST-1 Region. AWS Lambda functions that are invoked in response to CloudWatch events may not be getting invoked successfully. We are actively working to resolve the issue.</div><div><span class=""yellowfg""> 7:34 PM PDT</span>&nbsp;We have identified the root cause of the errors in scheduled event creation. We can confirm that AWS Lambda functions that are invoked in response to scheduled CloudWatch events are not getting invoked successfully. We are actively working towards recovery.</div><div><span class=""yellowfg""> 8:49 PM PDT</span>&nbsp;We are starting to see recovery of scheduled CloudWatch event delivery. We are also starting to see recovery of AWS Lambda functions that were set up to be invoked from scheduled CloudWatch events. </div><div><span class=""yellowfg""> 9:48 PM PDT</span>&nbsp;Starting at 5:27 PM PDT, there were delays delivering scheduled CloudWatch events. Recovery began at 7:31 PM PDT, and by 9:28 PM PDT the backlog of all previously scheduled CloudWatch events was successfully delivered. AWS Lambda functions that were configured to be triggered from scheduled CloudWatch events are now being invoked normally. During this entire duration all other kinds of CloudWatch events and other Lambda function invocations continued to operate normally. All issues are fully resolved and the services are operating normally.</div>",[RESOLVED] Elevated Error Rates,AWS,2020,Amazon CloudWatch,management,17:27,21:28,0,PDT,N. Virginia,We are investigating elevated rate of API faults and delays in processing some alarms in the US-EAST-1 Region.,"ERROR, DELAY",UNKNOWN,
330,Amazon CloudWatch (N. Virginia),"<div><span class=""yellowfg""> 7:41 PM PST</span>&nbsp;We are investigating increased delays for CloudWatch metrics in the US-EAST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics. </div><div><span class=""yellowfg""> 8:31 PM PST</span>&nbsp;We continue to investigate elevated API error rates and increased delays for CloudWatch metrics in the US-EAST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics.</div><div><span class=""yellowfg""> 9:32 PM PST</span>&nbsp;Between 7:16 PM and 9:08 PM PST, some customers experienced elevated error rates when calling CloudWatch APIs in the US-EAST-1 Region. Some metrics were delayed, and CloudWatch alarms on delayed metrics transitioned into INSUFFICIENT_DATA state. We have resolved the issue. Delayed metrics are in the process of backfilling in CloudWatch console graphs and for API retrieval. The service is operating normally.</div>",[RESOLVED] Elevated API Errors and Delayed metrics,AWS,2020,Amazon CloudWatch,management,19:16,21:08,0,PST,N. Virginia,"some customers experienced elevated error rates when calling CloudWatch APIs in the US-EAST-1 Region. Some metrics were delayed, and CloudWatch alarms on delayed metrics transitioned into INSUFFICIENT_DATA state. ","ERROR, DELAY",UNKNOWN,
279,Amazon CloudWatch (London),"<div><span class=""yellowfg""> 5:10 AM PDT</span>&nbsp;We are investigating increased faults and latencies for CloudWatch APIs and metrics in the EU-WEST-2 Region.</div><div><span class=""yellowfg""> 5:24 AM PDT</span>&nbsp;We can confirm elevated API faults and some delayed metrics in EU-WEST-2 Region. We are actively working to resolve the issue.</div><div><span class=""yellowfg""> 6:04 AM PDT</span>&nbsp;We have identified the root cause for elevated API faults and latencies for the GetMetricData and GetMetricWidgetImage APIs in the EU-WEST-2 Region. We are actively working to resolve the issue and are starting to see recovery.</div><div><span class=""yellowfg""> 6:32 AM PDT</span>&nbsp;We have identified the root cause for elevated API faults and latencies for the GetMetricData and GetMetricWidgetImage APIs in the EU-WEST-2 Region. We can confirm significant recovery and are working actively to fully resolve the issue.</div><div><span class=""yellowfg""> 8:02 AM PDT</span>&nbsp;Between 4:07 AM and 7:28 AM PDT, customers experienced elevated API fault rates and latencies in the EU-WEST-2 Region. Some metrics were also delayed initially. We have resolved the issue and the service is operating normally.</div>",[RESOLVED] Elevated latencies and Faults in EU-WEST-2,AWS,2020,Amazon CloudWatch,management,04:07,07:28,0,PDT,London,customers experienced elevated API fault rates and latencies in the EU-WEST-2 Region. Some metrics were also delayed initially. ,"ERROR, DELAY",UNKNOWN,
505,Amazon CloudWatch (Ireland),"<div><span class=""yellowfg"">11:59 AM PDT</span>&nbsp;We are investigating increased delays for CloudWatch metrics in the EU-WEST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics.</div><div><span class=""yellowfg"">12:20 PM PDT</span>&nbsp;We can confirm increased delays for CloudWatch ELB metrics in the EU-WEST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics.</div><div><span class=""yellowfg"">12:34 PM PDT</span>&nbsp;Between 9:55 AM and 12:25 PM PDT, some customers may have experienced intermittent delays in the availability of CloudWatch ELB metrics in the EU-WEST-1 Region. The issue has been resolved and the service is operating normally.</div>",[RESOLVED] Delayed Metrics,AWS,2017,Amazon CloudWatch,management,09:55,12:25,0,PDT,Ireland,some customers may have experienced intermittent delays in the availability of CloudWatch ELB metrics in the EU-WEST-1 Region.,"DELAY, UNAVIL",UNKNOWN,
78,Amazon Elastic Compute Cloud (N. California),"<div><span class=""yellowfg"">10:56 AM PDT</span>&nbsp;We are investigating increased API error rates and latencies in the US-WEST-1 Region. </div><div><span class=""yellowfg"">11:27 AM PDT</span>&nbsp;Between 10:22 AM and 10:33 AM PDT, and between 10:47 AM and 11:06 AM PDT, we experienced increased API error rates and latencies in the US-WEST-1 Region. APIs also returned insufficient-data in the results from EC2 instance status checks and CloudWatch alarms transitioned into ""INSUFFICIENT_DATA"" state if set on the delayed metrics. EC2 instances operated normally during this time. The issue has been resolved and the service is operating normally. </div>",[RESOLVED] Increased API Error Rates and Latencies,AWS,2020,Amazon Elastic Compute Cloud,compute,10:22,10:33,0,PDT,N. California,"we experienced increased API error rates and latencies in the US-WEST-1 Region. APIs also returned insufficient-data in the results from EC2 instance status checks and CloudWatch alarms transitioned into ""INSUFFICIENT_DATA"" state if set on the delayed metrics.","ERROR, DELAY",UNKNOWN,
130,Amazon CloudWatch (Oregon),"<div><span class=""yellowfg"">11:14 AM PDT</span>&nbsp;We are investigating increased delays for CloudWatch metrics in the US-WEST-2 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics.</div><div><span class=""yellowfg"">11:33 AM PDT</span>&nbsp;We can confirm increased connection errors and latencies for CloudWatch APIs. Some CloudWatch metrics are delayed. We are actively working to resolve the issue.</div><div><span class=""yellowfg"">12:30 PM PDT</span>&nbsp;We have identified the root cause of the increased connection errors and latencies for CloudWatch APIs, as well as the CloudWatch metric delays. We continue to work toward recovery.</div><div><span class=""yellowfg"">12:45 PM PDT</span>&nbsp;We are beginning to see recovery and continue to work toward full recovery. </div><div><span class=""yellowfg""> 1:03 PM PDT</span>&nbsp;Between 10:40 AM and 12:44 PM PDT we experienced increased connection errors and latencies for CloudWatch APIs. During this time CloudWatch alarms may have transitioned into ""INSUFFICIENT_DATA"" state if set on delayed metrics. The issue has been resolved and the service is operating normally. </div>",[RESOLVED] Delayed Metrics,AWS,2020,Amazon CloudWatch,management,10:40,12:44,0,PDT,Oregon,"we experienced increased connection errors and latencies for CloudWatch APIs. During this time CloudWatch alarms may have transitioned into ""INSUFFICIENT_DATA"" state if set on delayed metrics.","ERROR, DELAY, UNAVIL",UNKNOWN,
562,Amazon CloudWatch (N. Virginia),"<div><span class=""yellowfg""> 4:17 PM PDT</span>&nbsp;We are investigating increased delays for CloudWatch log event processing for metric filter extraction and log subscriptions in the US-EAST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on metrics extracted using log filters.</div><div><span class=""yellowfg""> 5:00 PM PDT</span>&nbsp;Between 3:23 PM and 4:48 PM PDT, some customers experienced increased delays for CloudWatch log event processing for metric filter extraction and log subscriptions in the US-EAST-1 Region. Metrics extracted using Logs Filter Patterns were delayed, and CloudWatch alarms on those delayed metrics transitioned into INSUFFICIENT_DATA state. We have resolved the issue. Delayed metrics and log events for subscriptions are in the process of backfilling. The service is operating normally.</div>",[RESOLVED] Delayed Log Event Processing for Metric Filter Extraction and Subscriptions,AWS,2017,Amazon CloudWatch,management,15:23,16:48,0,PDT,N. Virginia,"some customers experienced increased delays for CloudWatch log event processing for metric filter extraction and log subscriptions in the US-EAST-1 Region. Metrics extracted using Logs Filter Patterns were delayed, and CloudWatch alarms on those delayed metrics transitioned into INSUFFICIENT_DATA state.",DELAY,UNKNOWN,
158,Amazon CloudWatch (Ohio),"<div><span class=""yellowfg"">10:58 AM PDT</span>&nbsp;We are investigating increased error rates and delays for CloudWatch Logs Insights queries in the US-EAST-2 Region.</div><div><span class=""yellowfg"">11:15 AM PDT</span>&nbsp;Between 10:14 AM and 11:09 AM PDT, we experienced elevated error rates and delays when running CloudWatch Logs Insights queries in the US-EAST-2 Region. We have resolved the issue and the service is operating normally.</div>",[RESOLVED] Increased Error Rates,AWS,2020,Amazon CloudWatch,management,10:14,11:09,0,PDT,Ohio,we experienced elevated error rates and delays when running CloudWatch Logs Insights queries in the US-EAST-2 Region. ,"ERROR, DELAY",UNKNOWN,
485,Amazon CloudWatch (Oregon),"<div><span class=""yellowfg""> 4:18 AM PDT</span>&nbsp;We are investigating elevated fault rates for the CloudWatch ListMetrics API in the US-WEST-2 Region. During this customers may experience increased faults in CloudWatch Console</div><div><span class=""yellowfg""> 5:14 AM PDT</span>&nbsp;Between 3:28 AM and 5:00 AM PDT customers experienced elevated errors listing metrics via the CloudWatch ListMetrics API and the CloudWatch Management Console in the US-WEST-2 Region. The issue has been resolved and the service is operating normally.</div>",[RESOLVED] Elevated ListMetrics API faults,AWS,2017,Amazon CloudWatch,management,03:28,05:00,0,PDT,Oregon,customers experienced elevated errors listing metrics via the CloudWatch ListMetrics API and the CloudWatch Management Console in the US-WEST-2 Region.,ERROR,UNKNOWN,
565,Amazon CloudWatch (N. Virginia),"<div><span class=""yellowfg""> 5:43 AM PST</span>&nbsp;We are investigating increased faults for CloudWatch Logs APIs in the US-EAST-1 Region. Log events and metrics may be delayed. Alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics.</div><div><span class=""yellowfg""> 6:02 AM PST</span>&nbsp;We can confirm increased faults for CloudWatch Logs APIs in the US-EAST-1 Region. Log events and metrics are delayed. Alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics. Customers will experience faults in the CloudWatch Logs Management Console.</div><div><span class=""yellowfg""> 6:42 AM PST</span>&nbsp;Between 4:00 AM and 6:17 AM PST customers experienced elevated faults when calling CloudWatch Logs APIs in the US-EAST-1 Region. Log events and metrics were delayed, and CloudWatch alarms on delayed metrics transitioned into INSUFFICIENT_DATA state. We have resolved the issue. Delayed metrics and log events are in the process of backfilling in CloudWatch console graphs and for API retrieval. The issue has been resolved and the service is operating normally.</div>",[RESOLVED] Elevated Faults for CloudWatch Logs APIs,AWS,2017,Amazon CloudWatch,management,04:00,06:17,0,PST,N. Virginia,"customers experienced elevated faults when calling CloudWatch Logs APIs in the US-EAST-1 Region. Log events and metrics were delayed, and CloudWatch alarms on delayed metrics transitioned into INSUFFICIENT_DATA state","ERROR, DELAY",UNKNOWN,
